abandon,abondon
architecture,archetecture
archive,achive
archived,achived
arctic,artic
area,are,eary
arena,areana
arguing,argueing,aurgueing,aurguing
argument,aguement,arguement,aurgument
argumentative,argumentitive
arguments,arguements,aurgument
arise,arrise
arithmetic,arithmatic,arithmatics,arithmitic
arm,arn
armature,amature
army,aray,armey
around,a_rade,a_rand,a_rarnd,a_rond,a_round
arouse,arrouse
arrange,arange
arranged,a_reb,aranged,arrainged,arrange,
arrangement,arangement
arrangements,araingements,araingments,arangaments,arangement,arangements
arranging,aranging
arrest,arest
arrested,erested
arrival,arival,arrivial
arrive,arive
arrived,arived,arrive
arrow,arow
art,arte,ort
art_room,art-room
arteries,arery
article,artical,articel
articles,articals
artificial,artifical
artificially,artifically
artillery,artillary
artist,artest
as_well,aswell
ascension,accension
ascertain,accertain,accertained,acertain,acertained,ascertaine
ascertained,acsertained
ascetic,asetic
ashamed,ashame,ashed
ashes,ashers,ashis
aside,addise
asinine,assinine
ask,ack,arsc,aske
asked,ask,askt
asking,askeing,askin
asleep,a_sleep,asleeep,aslep
aspect,aspeat
aspects,spects
asphalt,ashpalt,ashphelt,asphelt
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assemble,assemple
assemblies,assembeleis,assembelies,assemblys,semblys,
assembly,asemble,asembly,asemnly,assambly,assembaly
assessing,accesing
assessment,assesment
assiduous,assidious
assignments,assighnments,assigmments
assist,asist
assistance,assistence,assitance
assistant,assitant
associate,associat,associate
associated,asociated
association,accociation,ascociation,asociation,assocation,
assume,assoon,asume
assure,asure
assured,asured
asterisk,asterick
asteroid,asteriod
asthma,athsma
astronomy,astonomy
asymmetric,assymetric
asymmetrical,assymmetrical,assymnerical
asymmetry,assymmetry,assymnetry,asyme
asymptote,asentote
asynchronously,asyncronously
at_all,atall
at_least,atleast
ate,aet
atheistic,atheistical
Athenian,Athenean
Athenians,Atheneans
athlete,athlette
athletic,atheletic
athletics,athaletics,atheletics,athetics
atmosphere,atmosfere,atmospher,atmousphere
atoms,atom
attach,attache
attached,atached,attacked
attaching,actacting,acttaching,apatching,ataching,atacing
attack,attach
attacked,atacked
attainder,attaindre
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attend,atend
attendance,attendence
attendant,attendent
attendants,attendents
attended,atended,attened
attending,atending
attention,atention,attentin
attentively,atentively
attic,atic
attitude,attitide
attorney,arteny,arterny,aterna,aterney,aterning
attorneys,aternies,atorneys,atourneys,atournys,atterenys
attract,atract
attraction,atraction
attractions,attracktions
attractive,atractive
attribute,atribute
attributes,atributes
audience,audeince
auditorium,adatorum,additorium,adetoreum,aditorium,aditorum
august,agust,augest
aunt,aante,aint,anit,annt,ant
Austrian,Austrain
author,autor
authoritative,authorative
authority,athority
auto,ato,oto,outo
autobiographic,authobiographic
autobiography,authobiography
autograph,autgraph
automatic,autumatic
automatically,autoamlly
automobile,aucomobile,automible,automoble
autumn,autum
auxiliary,auxilliary
availability,avaiblity
available,avalable,avaliable
avenue,avenew,aveune
average,avarage
averaged,averageed
aviation,avation
avoid,a_falled,a_fied,a_foda,a_fory,a_vard
await,awate
awaiting,awaitin
awake,awak
awarded,awedid
aware,awear
away,awya
awe,ore
awe-inspiring,awe_inspiring
awful,afful,aglift,aleal,alfal,alfall
awfully,aufully,awfuly
awhile,awile
awkward,ackward
ax,ask,ox
babies,abays,babbes,babe,babes,babeyes
baby,baba,babe
babyish,babeish
bachelor,bachler,bachlor,batchelor
back,bakc,bcak
backchatting,back_chating
background,back_ground
backward,ackward
backwards,backwoods,backwords
backyard,back_yard,bakeyord
bacon,backen,baken
bad,bed
bad-tempered,bad_temped,bad_tempered
bad_one,budra
bad_temper,badtempar
Badcock's,badcock
badge,bage
badges,bages
badly,badle,badley,dadley
badminton,badmington
baggage,bagage
bags,bg,bogs
bake,back
bakery,backary,backery
baking,bakeing
balance,balence,ballance,blance
balanced,ballanced
bald,bould
bald_eagle,bald-eagle
ball,bal,boll
balloon,ballon,baloon,bloon
ballot,ballet
banana,bananna,banna,bannana
band,bande,bend
bandage,bandge
bandaging,banjind
bandwidth,bandwith
bankrupt,bankrot
bankruptcy,bankrupcy
banner,baner,bannar
banquet,bankquet,banquete
barbecue,barbeque
barbed,barb
bare,bear
bared,barred
barely,barly
bargain,bargin
bargaining,baragining
barley,barly
barn,bran
barrel,barrle
base,bace,bach,baese,bas,bass
baseball,baceball,basball
based,basen
basement,basment
bashful,basful,bashfull
basic,basects,bisic
basically,basicaly,basicly
basin,bassin
basis,bases
basketball,Basket-Ball,Basket_ball,Basketball,bascket-ball,bascketball
bat,bate,bet
bath,barth
bathe,bath
bathing,batheing,bawing
bathroom,both_rom
bathtub,bath_tub
baton,batton
battalion,batallion
battery,batery
battle,batle,battel
battle-axe,battle_axe
be_frightened,frignd
beach,beech
bead,beed
beam,beame
bean,been,ben
beans,bean
bear,bar,bare
beard,beared
bearers,bearer
beast,best
beat,beet,bet
beaten,beat
beating,beting
beautician,beutician
beautiful,beatiful,beautyfull
beauty,beuty,bueaty
became,becamae
Bechuanaland,bechuarnia_land
become,bacome,be_come,becom,beeome,beome
becomes,become
becoming,becomming
bed,bad,birb,dede
bedroom,bedroon
bee,be
bee-keepers,bee_keepers
beech,beach
beechwood,beech_wood
beef,beaf
beet,beat
beforehand,before_hand
beg,back,bag,bage,bagk,baic
began,begain,begane,begun
beggar,begger
begged,beged
begging,beggin
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining,begining,beginnig
beginnings,begginings
begins,begines
begun,began,begen,begon
behavior,behavour
behaviour,behavour
behind,be_coem,be_had,be_hand,be_hane,be_hide
belief,beleif
beliefs,belives
believe,beleive
believed,beleived
believes,beleives,belives
believing,beleiving
bell,ball
belligerent,beligerant
belong,belog,blong
belt,ba,balt,bat,bate,batelt
belts,bea,bes
bend,band
beneath,barine,beaneath,beaneth,beanth,beinth
benediction,bendecition
beneficent,beneficient
beneficial,benificial
beneficiary,beneficary
benefit,benifit
benefits,benifits
bent,bant
bereavement,bereivement
berets,berrets
Bernoulli,Bernouilli
berries,berres,berrys
beside,bese,besid
besides,becides,beside,besids
besiege,beseige
besieged,beseiged
besieging,beseiging
best,bass,bast,be,beast,beat
bestiality,beastiality
bet,bat,beat
better,metter
beyond,beond,beyons
bible,bibble,bibel
bickering,bickere
bicycle,basical,biccal,bicechely,bicecicle,bicecyle
bicycles,bycicles
bid,bed
big,beg,bog,dig
big-head,big_head
big-headed,big_head,big_headed
bigger,biger
biggest,big,biges,biges't,bigest,biget
bilaterally,bilateraly
bill,bell,bil
bingley,bingly
binomial,binominal
biology,biolagy
bird,brid
birds,brids
birth,berth
birthday,brithday
birthmark,birth_mark
biscuit,biscut,bisket
biscuits,balscets,beciskes,becuits,bekis,bescet
bishop,bishope
bit,bite,pit
bitch,bich
bitchy,bitchey
bite,bit
black,blak
blackboard,black_board
blackcurrants,blackcurrents
blackened,blackend
blame,blaim
blamed,blaimed
blank,blak
blaze,blase
blazers,blasers
bleat,blait
bleed,blead,bled
blessing,blessure
blew,blow,blue
blink,blnk
Blitzkrieg,Blitzkreig
blizzard,blizard
block,blak,blok
blocked,bloked
blond,blonde
blood,blod,blud
bloody,blody,bludy
blossom,blosom,bloson,blossem
blot,blat
blouse,boludes
blow,blo,plow
blowing,bloing
blue,bleu,bleue,blew,blow,bluw
blue-covered,blue_covered
bluff,bluf
board,bord
boarder,border
boarders,borders
boat,boaut
body,boddy,bode,p
bodyguard,body_gaurd
boisterous,boystrust
bolsters,boulsters
bomb,bambe,baumb,bom,bombe,bome
bombarding,boma
bombs,bomes,boms
bond,bound
bonded,bonding
bone,bon,bowen
bonnet,bonet
bonus,bonas
book,boak,books
bookcase,book_case
booklet,boklet,booklit
books,book,bookes
bookstand,booksand
boomerangs,boomaranges
border,boarder,bourder
bore,boar,board,boor
bored,Bored,bawd,boar,board,boarded
boring,boaring,borring
born,borne,bron
borrow,barrow,brow
borrower,borrowr
boss,bose
bossed,bosed
bossing,bosing
bossy,bosy
botanical,battanigal,tanacal
bother,barther,borther
Botswana,botuania
bottle,botle,bottel
bottles,battels
bottom,botem,botom,botome,bottem,botton
bought,boght,bout,brought
bound,bond
boundary,bondary,boundry
bounds,bound
bouquet,boquet
bourgeoisie,bourgoisie
bout,baout,boaut
bowl,bole
box,bax
boxes,boxs
boy,bay
boycott,boygot
boys,boy,boyes
braid,brad,brade
brain,bain,bran,brin
brainier,brianer
brake,brak,brakke,break
branch,brach,branck
branches,brances,branchs
branching,braching
brand,bran,brend
brass,bras
brave,brav
Brazilian,Brasillian
bread,brad,brade,bred
breadth,breath
break,brack,brak,brake,breach,breack
break-times,breaktimes
break_time,breaktime
breakfast,breafast,breakfest,brekfast
breaking,bracking,braking,p
breakthrough,breakthough
breast,brest
breath,brath,breathe,breth
breathe,bauth,beath,beathe,beith,berath
breeze,breaze,brezze
brethren,bretheren
brick,brak,brik
bricks,brick
bridge,bainge,bama,beds,big,bige
brief,breaf,breif,brieff,brif,
bright,brit,brite
brilliant,briliant
brimful,brim_full
bring,berng,bing
Britain,Britian
britain,britian
britannia,britania
British,Brittish
brittle,bittle
broad,broard,brod,brode
broadcast,bradcast
broadcasting,bradcasting
broadly,broady
broccoli,brocolli
broke,brock,brok,broken
broken,brocken,brokern,brooken
brook,brock
brooks,brookes
broom,brom
brother,brouther
brought,bought,broght,brort,brot,brough
brown,bron,broun
browse,bbrose
bruise,bruse
brush,bruch,bush
bubble,buble
buck,bouk
bucket,buket
bud,bod,but
buffaloes,buffalos
buffalos,buffaloes
bug,big
buggy,bugy
build,bellar,bild,biuld
building,belding,bilding,billding,biulding,bleing
buildings,bildings,building,bul
built,bealt,bellet,bente,bilt,bilte
bull,bool
bullet,bulet
bulletin,Bulletin,Bullitoin,bolloton,bouletin,buellitin
bulletins,bulletings
bullied,bulyed
bully,bulle,bulley,bulleye
bullying,bulling
bump,bumb,bunp
bundle,boundle,bundel
bungalow,Bungalo,Bungalow,bangalow,bonglow,bongulo
buoyancy,bouyancy
buoyant,bouyant
burden,birden
bureau,beauro
bureaucracy,beaurocracy
burglar,buglar,burgler
buried,baired,bairied,bairred,baried,barred
burin,buring
burn,birn,brun
burned,bruned,burnd
burning,buring
burst,bust
bury,beary,berry
burying,buring
bush,buch
bushel,bushell,bushle
business,buisness,busineses,busness
businesses,busineses
busy,bise,bisy,buisy,bussy,
butcher,bucher
butter,buder,budr,budter
button,buton
buy,by,bye
buying,buyin,bying
buzz,buss
by_by,byby
bye,buy
bypass,bipass
cabbage,cabbge
cabbage-looking,cabbage_looking
cabin,cabbin,caben
cabinet,cabinate
Caesar,Ceasar
cage,cag,kage
caisson,casion
cake,cack,cak,caka,cakend,cakes
calculate,caluclate,caluculate,calulate
calculated,caluclated,caluculated,calulated
calculator,calculater
calendar,calender
calf,caf,calft
call,col,coll
called,call,calld,cholep,could,
caller,cauler
calligraphy,caligraphy
calling,caling,callin,colling
calm,carm
Cambridge,Cambrige
cambridge,cambrige
came,gamne
camel,camal
camera,camara
camp,canp,kamp
camp-bed,camp_bed
campaign,campain
campaigns,campains
camphor,camfer,camper,campher
can't,cant
Canada,Canda
cancel,cancell,cansel
cancellation,canacellation,cancalation,cancallation,cancatation,cancealation
cancelled,cancaled,cancealed,canceel,cancel,cancell
cancelling,camsaling,cancaling,cancalling,cancelate,cancelation
candidate,candadate
candle,candel
candy,cand
cane,cain,came,can,kane,
caned,cained,canned
caning,canning
canister,cannister
canisters,cannisters
canned,caned
cannibals,canniballs
cannon,canon
cannot,can_not,cannto,canot,carnot,
canonical,cannonical
cant,cant
cantaloupe,cantaloube
canvas,canvis
canvass,Kansas,camvas,camvic,canfass,cannvas
cap,cat,kap
capabilities,capabiltes
capability,caperbility
capable,capeable
capacity,apassaty,c_pmasterly,capacote,capacty,capaicty
cape,kape
capital,capitol
capitalism,capa
capitol,capital
captain,capitan,captian
capture,capure
captured,captored
car,care,cars,cor
Caracas,carcas
carboniferous,carbonferous
carcass,carcas
card,cord,kard
cardboard,cardbord
cards,cars
care,car,cear,cerer
career,carear,carreer,carrer
careers,carrers,currers
careful,carefull,carful
carefully,carefuly,carfully
careless,carless
carelessly,carlessly
caretaker,cartaker
cargo,cargow
Caribbean,Carribean
caribbean,carribean
caring,careing
carnivorous,carniverous
carols,caroles
carpenter,carpentar
carpet,carpit
carriage,carrage,carrige
carried,cared,caried,carred,carryed,
carries,carrys
carrot,carret
carry,cary
carrying,carring
cars,cors,kars
Carthaginian,Carthagian
cartilage,cartilege,cartilidge
cartographer,carthographer
cartoon,carton,cartune
cartridge,cartrige
cartridges,cartriges
carts,cartes
case,cace
cases,casses
cash,cach
cashier,casher
cassette,casette
cassowary,cassawory,cassowarry
cast,kast
casualties,casulaties,causalities
casualty,casulaty
Catalina,Cataline
catalogue,cataloge,catologue
catalogues,Catalogs,Catalogue,Catalogues,calogues,catalodges
cataloguing,catakoguing,catalguing,cataloguin
catarrh,catar
catch,cach,can
categories,catagories
category,catagory
caterpillar,catterpilar
caterpillars,catterpilars
catholic,cathlic
Catiline,Cataline
cattle,catle,cattel
caught,caght,calhat,cargt,cart,cathe
cause,course,couse
caused,cas,cased,corthed
causes,cases
causing,corsing,coursing
caution,causion,cortion
cave,kave
caveats,cravets
cease,ceace,ceaice,ceas,ceased,ceases
ceased,ceace,ceaced,cease,ceaset,ceast
cedar,ceder
ceiling,celling,cieling
celebrate,celabrate
celebration,celabration
cellar,celler,seelor
Celsius,Celcius
cement,cemment,sement
cemeteries,cemetaries
cemetery,cemetarey,cemetary
censor,censur
censored,censorsored
censure,censur,sensure
census,cencus
cent,sent
central,centeral,centrel,cntral
centrally,centraly
centre,center,senter,senture
centre-half,center_half
cents,cens
centuries,centruies
century,centruy
ceremonial,cerimonial
ceremonies,cerimonies
ceremonious,cerimonious
ceremony,cerimony
certain,ceratin
certainly,call,cen,cerienly,certainley,certaintly
certainty,certainity
certificate,certifacite,citificate
certificates,ceriticate's,cerstificates,seticates
cervical,cervial
chain,chan,chane
chair,char,chiar
chair-leg,chair_leg
chairman,chariman
chairs,chiar's,chirs
chalk,chork
challenge,chalange,chalenge,challange
challenges,chalenges
Champagne,Champange
champion,campion,champian
chance,chac,chanch,change
change,chang
changeable,changable
changed,chaned,change
changing,changeing
channel,chanel,channal
chapel,chapal,chaple,chapple
chapter,capter,captur,capture,chapder,chaper
character,carachter,charachter
characteristics,charistics
characterized,charaterized
characterizing,characterissing
characters,charachters
charismatic,carismatic
charity,charaty
chase,chasr
chaser,chasr
chatting,chating
chauffeur,chauffer,chauffuer
chauffeurs,chauffers
Chautauqua,Chactuquoe,Chalktwa,Chaqua,Chata,Chatacqua
cheap,cheep
cheaper,cheeper,cheper
cheat,sheat
check,chack,cheak,cheke
checked,chacked
cheek,cheak,chek
cheeky,cheaky
cheer,chair,chear
cheerful,chearful,cheerfull
cheese,chease,chees
chemical,chemcial
chemically,chemcially,chemicaly
chemistry,chemestry
cherries,cheres,cherry's,cherrys
cherry,cheery,chery
chest,cheast
chicken,chiken
chickens,chikens,chiking
chief,cheif
child,cild
childbirth,childbird
children,cene,chensned,cheon,cherden,chiandn
children's,childrens
chimney,chimmey,chimmy,chimny
chimneys,chimnies
chin,chen
chocolate,chocalate,choclate,chocolat
chocolates,chocalates
choice,choise,chose
choices,choises
choir,chior,cowi,quire
choirboy,choir_boy
choose,cas,cheoos,chese,chews,choos
choosing,chosing
chop,cape,car,cat,chap,cheun
chose,choice,choose
chosen,choosen
Christ,Crist
Christian,Christain
Christmas,Chrismas,Christ_mas,Christmis,Cristmus,cristmas
chrysanthemums,chrisanthimums
church,curch
church-operated,church_operated
churches,churchs
cigarette,cigaret
cincinnati,cincinatti
Cinderella,Cinderrella
cinema,cinama
circle,cicle,circue
circling,calin,carling,cercling,cercoling,cerculing
circuit,ciricuit
circular,cercular,curcular
circulation,cerculation,curculation
circumstance,curcumstance
circumstances,circumstaces
circus,curcus
cistern,sistern
cities,cites,citys
citing,cisting
citizen,citezen,citisen
city,ciets,cifye,cist,cite,citty
civil,cival
civilian,civillian
civilization,civilazation
civilizations,civilations
civilized,civalized,civerlized
claim,clame
claims,claimes
clap,clape,klap
clapped,claped
class,clars,clas,glass
class's,classes
classes,clases,class,classe's,glasses,
classmates,class_mates
classroom,class-room,class_room,classrome,glass_room,
classroom's,class_rooms
classrooms,clarooms,class-rooms,class_room,class_rooms,classroom
clause,claws
clauses,causes
clean,clen
clean-smelling,clean_smelling
cleaned,clean,cleand,clend
cleaning,clening
clear,claer,clera
clearance,cleareance
cleared,clard,clered
clearer,claerer
clearly,claerly
clerical,clearical
clerk,clark,cleark,clerck
clever,cleaver,cleva
client,cleint
climate,climet
climatologists,climatoligists
climb,cilme,claim,clam,cliam,clim
climbed,climed
climbers,glimers
climbing,climing,climming,killing
clinical,clincial
clinically,clinicaly
cloak,clock
cloakroom,cloak_room
cloakrooms,cloackrooms,cloak_rooms,clock_rooms,clockrooms,
clock,clok
close,clos
closed,closd
closely,closly
closing,closeing
cloth,clath,colth
clothe,cloth
clothes,cloths,clows
cloths,clothes
cloud,coudl
clouds,cloweds
cloudy,clody
clown,cloun
club,clob
clubbed,clubed
co.,com,comp.
coach,choach,coache,coch,couch,
coach-load,coach_load
coal,cole,cool
coalesced,coalesed
coarse,case,caurse,cause,coase,coorse
coast,caost
coat,cot
coats,coots
cochlea,ch
cockamamie,cocamena
cocoa,coca,coco
coefficient,coeffcient,coeficient,cofficient
coerce,coeece
coffee,cofee,coffe,coffer
cognitive,cogntive
coherent,coherant
cold,cald
coliseum,colosium
collages,colloges
collapsed,collasped
collar,collor
collate,colate
collateral,colateral
colleague,collegue
colleagues,collegues
collect,colect
collectible,collectable
collecting,collecyting
collection,colection,coletion
collects,colecks
college,collage,colledge
colloquialism,colloquilism
colon,coaln
colonel,caral,carnail,carnal,cenral,cernal
colonies,collonies
colonnade,collonade
colony,collony
coloration,colouration
colossal,collosal
colossus,collosus
colour,colar,coler,color,coular,
colouration,coloration
coloured,colerd,colered,colored,colour,
colourful,colourfull
colours,calers
colt,cold
column,columne
comb,come
combination,combanation
combinations,combination
